 %  u           v           y           k           om          vistot
 -1.854E-03   1.244E-06   1.863E-04   9.540E-10   2.305E+04   1.000E-05
 -6.073E-03   2.509E-05   5.849E-04   3.173E-08   3.673E+03   1.000E-05
 -1.118E-02   8.199E-05   1.039E-03   2.671E-07   1.104E+03   1.000E-05
 -1.733E-02   1.845E-04   1.557E-03   1.192E-06   4.588E+02   1.000E-05
 -2.470E-02   3.452E-04   2.148E-03   3.806E-06   2.310E+02   1.002E-05
 -3.342E-02   5.792E-04   2.821E-03   9.900E-06   1.330E+02   1.008E-05
 -4.356E-02   9.027E-04   3.589E-03   2.216E-05   8.540E+01   1.028E-05
 -5.495E-02   1.330E-03   4.464E-03   4.340E-05   6.013E+01   1.078E-05
 -6.713E-02   1.868E-03   5.462E-03   7.443E-05   4.527E+01   1.175E-05
 -7.939E-02   2.515E-03   6.599E-03   1.123E-04   3.533E+01   1.336E-05
 -9.105E-02   3.256E-03   7.895E-03   1.517E-04   2.789E+01   1.575E-05
 -1.016E-01   4.074E-03   9.373E-03   1.883E-04   2.200E+01   1.909E-05
 -1.108E-01   4.951E-03   1.106E-02   2.206E-04   1.729E+01   2.365E-05
 -1.186E-01   5.869E-03   1.298E-02   2.487E-04   1.359E+01   2.975E-05
 -1.251E-01   6.814E-03   1.517E-02   2.738E-04   1.075E+01   3.760E-05
 -1.305E-01   7.778E-03   1.766E-02   2.966E-04   8.606E+00   4.727E-05
 -1.349E-01   8.756E-03   2.051E-02   3.173E-04   7.017E+00   5.849E-05
 -1.386E-01   9.752E-03   2.375E-02   3.357E-04   5.842E+00   7.077E-05
 -1.417E-01   1.077E-02   2.745E-02   3.519E-04   4.970E+00   8.350E-05
 -1.443E-01   1.183E-02   3.167E-02   3.663E-04   4.313E+00   9.625E-05
 -1.463E-01   1.292E-02   3.647E-02   3.809E-04   3.808E+00   1.091E-04
 -1.474E-01   1.405E-02   4.195E-02   3.996E-04   3.415E+00   1.230E-04
 -1.474E-01   1.518E-02   4.820E-02   4.271E-04   3.112E+00   1.394E-04
 -1.460E-01   1.626E-02   5.532E-02   4.667E-04   2.879E+00   1.599E-04
 -1.429E-01   1.725E-02   6.344E-02   5.186E-04   2.695E+00   1.858E-04
 -1.380E-01   1.807E-02   7.269E-02   5.777E-04   2.532E+00   2.177E-04
 -1.315E-01   1.867E-02   8.324E-02   6.357E-04   2.364E+00   2.555E-04
 -1.236E-01   1.902E-02   9.526E-02   6.818E-04   2.174E+00   2.987E-04
 -1.146E-01   1.911E-02   1.090E-01   7.054E-04   1.958E+00   3.456E-04
 -1.050E-01   1.894E-02   1.246E-01   6.995E-04   1.723E+00   3.936E-04
 -9.493E-02   1.854E-02   1.424E-01   6.626E-04   1.481E+00   4.387E-04
 -8.478E-02   1.799E-02   1.627E-01   5.990E-04   1.249E+00   4.760E-04
 -7.466E-02   1.732E-02   1.859E-01   5.176E-04   1.040E+00   5.001E-04
 -6.459E-02   1.658E-02   2.123E-01   4.289E-04   8.609E-01   5.066E-04
 -5.449E-02   1.578E-02   2.424E-01   3.429E-04   7.131E-01   4.944E-04
 -4.424E-02   1.489E-02   2.767E-01   2.676E-04   5.938E-01   4.675E-04
 -3.378E-02   1.387E-02   3.158E-01   2.083E-04   4.990E-01   4.356E-04
 -2.291E-02   1.271E-02   3.604E-01   1.662E-04   4.240E-01   4.095E-04
 -1.164E-02   1.122E-02   4.112E-01   1.391E-04   3.672E-01   3.953E-04
  6.133E-04   1.070E-02   4.691E-01   1.341E-04   3.501E-01   3.979E-04
  1.387E-02   1.088E-02   5.309E-01   1.557E-04   3.979E-01   4.058E-04
  2.737E-02   1.193E-02   5.888E-01   1.792E-04   4.765E-01   3.914E-04
  4.089E-02   1.263E-02   6.396E-01   1.942E-04   5.643E-01   3.612E-04
  5.401E-02   1.337E-02   6.842E-01   2.000E-04   6.520E-01   3.259E-04
  6.625E-02   1.397E-02   7.233E-01   1.989E-04   7.345E-01   2.916E-04
  7.730E-02   1.433E-02   7.576E-01   1.940E-04   8.105E-01   2.614E-04
  8.701E-02   1.444E-02   7.877E-01   1.877E-04   8.803E-01   2.362E-04
  9.536E-02   1.433E-02   8.141E-01   1.818E-04   9.452E-01   2.160E-04
  1.025E-01   1.403E-02   8.373E-01   1.771E-04   1.007E+00   2.000E-04
  1.084E-01   1.359E-02   8.576E-01   1.740E-04   1.067E+00   1.876E-04
  1.134E-01   1.307E-02   8.754E-01   1.724E-04   1.126E+00   1.782E-04
  1.174E-01   1.250E-02   8.910E-01   1.726E-04   1.187E+00   1.711E-04
  1.207E-01   1.191E-02   9.047E-01   1.744E-04   1.249E+00   1.661E-04
  1.235E-01   1.133E-02   9.168E-01   1.783E-04   1.316E+00   1.628E-04
  1.259E-01   1.074E-02   9.273E-01   1.851E-04   1.387E+00   1.617E-04
  1.282E-01   1.015E-02   9.366E-01   1.974E-04   1.474E+00   1.631E-04
  1.309E-01   9.553E-03   9.447E-01   2.203E-04   1.596E+00   1.673E-04
  1.341E-01   8.941E-03   9.518E-01   2.620E-04   1.795E+00   1.735E-04
  1.382E-01   8.322E-03   9.580E-01   3.320E-04   2.140E+00   1.792E-04
  1.433E-01   7.702E-03   9.635E-01   4.396E-04   2.724E+00   1.813E-04
  1.494E-01   7.082E-03   9.683E-01   5.933E-04   3.666E+00   1.780E-04
  1.569E-01   6.462E-03   9.725E-01   8.002E-04   5.108E+00   1.700E-04
  1.657E-01   5.843E-03   9.762E-01   1.064E-03   7.213E+00   1.591E-04
  1.763E-01   5.230E-03   9.795E-01   1.384E-03   1.015E+01   1.469E-04
  1.888E-01   4.629E-03   9.823E-01   1.753E-03   1.411E+01   1.343E-04
  2.032E-01   4.050E-03   9.848E-01   2.159E-03   1.929E+01   1.218E-04
  2.199E-01   3.499E-03   9.870E-01   2.585E-03   2.595E+01   1.095E-04
  2.389E-01   2.984E-03   9.889E-01   3.014E-03   3.443E+01   9.742E-05
  2.605E-01   2.509E-03   9.906E-01   3.428E-03   4.527E+01   8.566E-05
  2.849E-01   2.077E-03   9.921E-01   3.808E-03   5.930E+01   7.421E-05
  3.126E-01   1.689E-03   9.934E-01   4.130E-03   7.782E+01   6.312E-05
  3.444E-01   1.344E-03   9.945E-01   4.367E-03   1.030E+02   5.249E-05
  3.813E-01   1.041E-03   9.955E-01   4.474E-03   1.383E+02   4.243E-05
  4.254E-01   7.783E-04   9.964E-01   4.380E-03   1.902E+02   3.310E-05
  4.794E-01   5.532E-04   9.972E-01   3.963E-03   2.705E+02   2.471E-05
  5.483E-01   3.636E-04   9.979E-01   3.052E-03   4.024E+02   1.762E-05
  6.378E-01   2.081E-04   9.984E-01   1.634E-03   6.437E+02   1.256E-05
  7.454E-01   9.381E-05   9.990E-01   4.570E-04   1.244E+03   1.037E-05
  8.545E-01   2.764E-05   9.994E-01   5.592E-05   3.731E+03   1.002E-05
  9.535E-01   2.442E-07   9.998E-01   1.652E-06   2.305E+04   1.000E-05
